ID,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,AIRLINE,FLIGHT_ID,DELAY
2413,2015,1,1,4,US Airways Inc.,657,N637AW,MCI,CLT,0900,0901,1,12,0913,126,124,97,808,1150,15,1206,1205,-1,0,0,,,,,,,US Airways Inc.,2413,1
2735,2015,1,1,4,US Airways Inc.,1772,N555AY,CLT,DFW,0920,0921,1,17,0938,172,171,145,936,1103,9,1112,1112,0,0,0,,,,,,,US Airways Inc.,2735,1
2736,2015,1,1,4,US Airways Inc.,1830,N825AW,CLT,JFK,0920,0937,17,15,0952,102,95,74,541,1106,6,1102,1112,10,0,0,,,,,,,US Airways Inc.,2736,17
2795,2015,1,1,4,US Airways Inc.,1869,N745VJ,STL,CLT,0925,0932,7,10,0942,107,96,73,575,1155,13,1212,1208,-4,0,0,,,,,,,US Airways Inc.,2795,7
2796,2015,1,1,4,US Airways Inc.,1905,N172US,CLT,MCO,0925,0936,11,22,0958,98,108,72,468,1110,14,1103,1124,21,0,0,,10,0,11,0,0,US Airways Inc.,2796,11
2875,2015,1,1,4,US Airways Inc.,461,N540UW,CLT,SFO,0930,0931,1,25,0956,345,334,301,2296,1157,8,1215,1205,-10,0,0,,,,,,,US Airways Inc.,2875,1
2988,2015,1,1,4,US Airways Inc.,1722,N833AW,CLT,DCA,0940,0941,1,24,1005,83,84,55,331,1100,5,1103,1105,2,0,0,,,,,,,US Airways Inc.,2988,1
2993,2015,1,1,4,US Airways Inc.,1925,N545UW,CLT,TPA,0940,0942,2,25,1007,105,108,78,507,1125,5,1125,1130,5,0,0,,,,,,,US Airways Inc.,2993,2
2995,2015,1,1,4,US Airways Inc.,1977,N742PS,CLT,IND,0940,0947,7,19,1006,104,99,75,427,1121,5,1124,1126,2,0,0,,,,,,,US Airways Inc.,2995,7
3061,2015,1,1,4,US Airways Inc.,1951,N188US,CLT,PHX,0945,0947,2,17,1004,284,284,263,1773,1227,4,1229,1231,2,0,0,,,,,,,US Airways Inc.,3061,2
3131,2015,1,1,4,US Airways Inc.,635,N544UW,PHX,FLL,0950,1117,87,17,1134,261,243,216,1972,1710,10,1611,1720,69,0,0,,0,0,63,6,0,US Airways Inc.,3131,87
3136,2015,1,1,4,US Airways Inc.,2096,N812AW,CLT,PIT,0950,1026,36,14,1040,89,76,57,366,1137,5,1119,1142,23,0,0,,0,0,23,0,0,US Airways Inc.,3136,36
3156,2015,1,1,4,US Airways Inc.,520,N676AW,PHX,BWI,0950,0951,1,20,1011,261,236,211,1999,1542,5,1611,1547,-24,0,0,,,,,,,US Airways Inc.,3156,1
3209,2015,1,1,4,US Airways Inc.,649,N174US,PHX,DFW,0954,1033,39,18,1051,144,138,108,868,1339,12,1318,1351,33,0,0,,0,0,0,33,0,US Airways Inc.,3209,39
3237,2015,1,1,4,US Airways Inc.,567,N524UW,PHX,MCO,0955,1017,22,25,1042,249,239,210,1849,1612,4,1604,1616,12,0,0,,,,,,,US Airways Inc.,3237,22
3240,2015,1,1,4,US Airways Inc.,591,N753US,SJC,PHX,0955,1023,28,10,1033,104,98,85,621,1258,3,1239,1301,22,0,0,,0,0,22,0,0,US Airways Inc.,3240,28
3282,2015,1,1,4,US Airways Inc.,646,N654AW,PHX,BOS,0959,1004,5,28,1032,292,264,231,2300,1623,5,1651,1628,-23,0,0,,,,,,,US Airways Inc.,3282,5
3283,2015,1,1,4,US Airways Inc.,679,N578UW,JFK,PHX,0959,1001,2,28,1029,333,361,331,2153,1400,2,1332,1402,30,0,0,,28,0,2,0,0,US Airways Inc.,3283,2
3300,2015,1,1,4,US Airways Inc.,1844,N287AY,PHX,PHL,1000,1002,2,36,1038,271,253,214,2075,1612,3,1631,1615,-16,0,0,,,,,,,US Airways Inc.,3300,2
3418,2015,1,1,4,US Airways Inc.,544,N582UW,LAX,PHX,1005,1011,6,23,1034,76,84,57,370,1231,4,1221,1235,14,0,0,,,,,,,US Airways Inc.,3418,6
3641,2015,1,1,4,US Airways Inc.,2091,N189UW,DFW,CLT,1020,1048,28,15,1103,141,125,103,936,1346,7,1341,1353,12,0,0,,,,,,,US Airways Inc.,3641,28
3984,2015,1,1,4,US Airways Inc.,479,N679AW,PHX,SMF,1045,1056,11,27,1123,121,121,91,647,1154,3,1146,1157,11,0,0,,,,,,,US Airways Inc.,3984,11
4053,2015,1,1,4,US Airways Inc.,415,N678AW,PHX,SJC,1050,1056,6,14,1110,116,110,92,621,1142,4,1146,1146,0,0,0,,,,,,,US Airways Inc.,4053,6
4054,2015,1,1,4,US Airways Inc.,493,N836AW,PHX,OAK,1050,1054,4,13,1107,122,112,94,646,1141,5,1152,1146,-6,0,0,,,,,,,US Airways Inc.,4054,4
4110,2015,1,1,4,US Airways Inc.,2023,N587UW,ORD,PHX,1055,1057,2,12,1109,225,225,209,1440,1338,4,1340,1342,2,0,0,,,,,,,US Airways Inc.,4110,2
4130,2015,1,1,4,US Airways Inc.,443,N651AW,SLC,PHX,1055,1105,10,34,1139,91,105,69,507,1248,2,1226,1250,24,0,0,,14,10,0,0,0,US Airways Inc.,4130,10
4190,2015,1,1,4,US Airways Inc.,720,N519UW,PHX,CLT,1100,1226,86,27,1253,234,225,185,1773,1758,13,1654,1811,77,0,0,,0,0,10,67,0,US Airways Inc.,4190,86
4191,2015,1,1,4,US Airways Inc.,1810,N104UW,MSY,CLT,1100,1107,7,13,1120,107,102,82,651,1342,7,1347,1349,2,0,0,,,,,,,US Airways Inc.,4191,7
4305,2015,1,1,4,US Airways Inc.,490,N662AW,CLT,EWR,1105,1108,3,11,1119,102,99,83,529,1242,5,1247,1247,0,0,0,,,,,,,US Airways Inc.,4305,3
4378,2015,1,1,4,US Airways Inc.,457,N585UW,PHX,SLC,1110,1123,13,20,1143,99,100,74,507,1257,6,1249,1303,14,0,0,,,,,,,US Airways Inc.,4378,13
4380,2015,1,1,4,US Airways Inc.,565,N838AW,DFW,PHL,1110,1112,2,21,1133,182,178,150,1303,1503,7,1512,1510,-2,0,0,,,,,,,US Airways Inc.,4380,2
4427,2015,1,1,4,US Airways Inc.,796,N542UW,LAX,PHL,1115,1117,2,23,1140,304,288,260,2402,1900,5,1919,1905,-14,0,0,,,,,,,US Airways Inc.,4427,2
4429,2015,1,1,4,US Airways Inc.,1929,N835AW,BDL,CLT,1115,1227,72,4,1231,132,107,97,644,1408,6,1327,1414,47,0,0,,0,0,47,0,0,US Airways Inc.,4429,72
4432,2015,1,1,4,US Airways Inc.,2093,N567UW,CLT,DFW,1115,1116,1,12,1128,169,178,155,936,1303,11,1304,1314,10,0,0,,,,,,,US Airways Inc.,4432,1
4450,2015,1,1,4,US Airways Inc.,481,N165US,DEN,PHL,1115,1118,3,12,1130,210,188,171,1558,1621,5,1645,1626,-19,0,0,,,,,,,US Airways Inc.,4450,3
4511,2015,1,1,4,US Airways Inc.,713,N102UW,CLT,MSP,1120,1242,82,11,1253,164,171,152,930,1425,8,1304,1433,89,0,0,,7,0,82,0,0,US Airways Inc.,4511,82
4515,2015,1,1,4,US Airways Inc.,1983,N813AW,CLT,PBI,1120,1134,14,16,1150,109,104,84,590,1314,4,1309,1318,9,0,0,,,,,,,US Airways Inc.,4515,14
4535,2015,1,1,4,US Airways Inc.,433,N601AW,PHX,SFO,1120,1148,28,36,1224,131,136,94,651,1258,6,1231,1304,33,0,0,,5,0,28,0,0,US Airways Inc.,4535,28
4537,2015,1,1,4,US Airways Inc.,604,N564UW,CLT,PHX,1120,1121,1,11,1132,277,280,265,1773,1357,4,1357,1401,4,0,0,,,,,,,US Airways Inc.,4537,1
4538,2015,1,1,4,US Airways Inc.,621,N185UW,PHX,SNA,1120,1127,7,32,1159,85,93,57,338,1156,4,1145,1200,15,0,0,,8,0,7,0,0,US Airways Inc.,4538,7
4618,2015,1,1,4,US Airways Inc.,408,N521UW,PHX,PDX,1125,1128,3,25,1153,175,175,146,1009,1319,4,1320,1323,3,0,0,,,,,,,US Airways Inc.,4618,3
4675,2015,1,1,4,US Airways Inc.,726,N756US,LAX,PIT,1130,1141,11,46,1227,269,282,231,2136,1918,5,1859,1923,24,0,0,,13,0,11,0,0,US Airways Inc.,4675,11
4681,2015,1,1,4,US Airways Inc.,1937,N509AY,CLT,BOS,1130,1149,19,17,1206,127,122,99,728,1345,6,1337,1351,14,0,0,,,,,,,US Airways Inc.,4681,19
4682,2015,1,1,4,US Airways Inc.,1964,N830AW,CLT,MCI,1130,1154,24,14,1208,154,154,136,808,1324,4,1304,1328,24,0,0,,0,0,24,0,0,US Airways Inc.,4682,24
4772,2015,1,1,4,US Airways Inc.,1730,N829AW,CLT,DCA,1135,1218,43,10,1228,80,63,50,331,1318,3,1255,1321,26,0,0,,0,0,26,0,0,US Airways Inc.,4772,43
4773,2015,1,1,4,US Airways Inc.,1731,N952UW,PHL,ORD,1135,1211,36,15,1226,141,151,130,678,1336,6,1256,1342,46,0,0,,10,0,36,0,0,US Airways Inc.,4773,36
4847,2015,1,1,4,US Airways Inc.,2071,N117UW,CLT,ATL,1140,1253,73,22,1315,79,74,44,226,1359,8,1259,1407,68,0,0,,0,0,20,48,0,US Airways Inc.,4847,73
4873,2015,1,1,4,US Airways Inc.,413,N571UW,ATL,PHX,1140,1145,5,12,1157,250,244,229,1587,1346,3,1350,1349,-1,0,0,,,,,,,US Airways Inc.,4873,5
4917,2015,1,1,4,US Airways Inc.,692,N200UU,PHX,HNL,1145,1147,2,31,1218,407,455,411,2917,1609,13,1532,1622,50,0,0,,48,0,0,2,0,US Airways Inc.,4917,2
4919,2015,1,1,4,US Airways Inc.,749,N648AW,TPA,CLT,1145,1151,6,12,1203,100,102,79,507,1322,11,1325,1333,8,0,0,,,,,,,US Airways Inc.,4919,6
4921,2015,1,1,4,US Airways Inc.,1700,N121UW,PHL,CLT,1145,1154,9,11,1205,107,90,74,449,1319,5,1332,1324,-8,0,0,,,,,,,US Airways Inc.,4921,9
5004,2015,1,1,4,US Airways Inc.,1800,N839AW,MSY,MIA,1150,1201,11,9,1210,107,105,88,675,1438,8,1437,1446,9,0,0,,,,,,,US Airways Inc.,5004,11
5008,2015,1,1,4,US Airways Inc.,2064,N538UW,CLT,LGA,1150,1151,1,17,1208,112,99,76,544,1324,6,1342,1330,-12,0,0,,,,,,,US Airways Inc.,5008,1
5080,2015,1,1,4,US Airways Inc.,1803,N173US,PHX,PHL,1155,1159,4,30,1229,260,245,210,2075,1759,5,1815,1804,-11,0,0,,,,,,,US Airways Inc.,5080,4
5172,2015,1,1,4,US Airways Inc.,2063,N644AW,PBI,CLT,1200,1201,1,15,1216,115,115,95,590,1351,5,1355,1356,1,0,0,,,,,,,US Airways Inc.,5172,1
5258,2015,1,1,4,US Airways Inc.,863,N742PS,IND,CLT,1205,1207,2,14,1221,94,87,64,427,1325,9,1339,1334,-5,0,0,,,,,,,US Airways Inc.,5258,2
5261,2015,1,1,4,US Airways Inc.,1972,N172US,MCO,CLT,1205,1223,18,11,1234,99,93,74,468,1348,8,1344,1356,12,0,0,,,,,,,US Airways Inc.,5261,18
5288,2015,1,1,4,US Airways Inc.,485,N812AW,PIT,CLT,1205,1211,6,9,1220,89,86,68,366,1328,9,1334,1337,3,0,0,,,,,,,US Airways Inc.,5288,6
5289,2015,1,1,4,US Airways Inc.,510,N809AW,DFW,PHX,1205,1350,105,36,1426,159,180,137,868,1543,7,1344,1550,126,0,0,,21,0,85,20,0,US Airways Inc.,5289,105
5427,2015,1,1,4,US Airways Inc.,2072,N187US,DEN,CLT,1215,1623,248,14,1637,184,170,148,1337,2105,8,1719,2113,234,0,0,,0,0,234,0,0,US Airways Inc.,5427,248
5499,2015,1,1,4,US Airways Inc.,1925,N545UW,TPA,PHL,1220,1225,5,11,1236,147,142,124,920,1440,7,1447,1447,0,0,0,,,,,,,US Airways Inc.,5499,5
5736,2015,1,1,4,US Airways Inc.,553,N679AW,SMF,PHX,1235,1245,10,10,1255,104,103,88,647,1523,5,1519,1528,9,0,0,,,,,,,US Airways Inc.,5736,10
5794,2015,1,1,4,US Airways Inc.,1854,N185UW,SNA,PHX,1240,1251,11,31,1322,72,97,53,338,1515,13,1452,1528,36,0,0,,25,0,6,5,0,US Airways Inc.,5794,11
5873,2015,1,1,4,US Airways Inc.,562,N652AW,LAX,PHX,1245,1259,14,18,1317,81,83,56,370,1513,9,1506,1522,16,0,0,,2,0,6,8,0,US Airways Inc.,5873,14
6017,2015,1,1,4,US Airways Inc.,1821,N744P,MSY,CLT,1255,1258,3,13,1311,104,101,79,651,1530,9,1539,1539,0,0,0,,,,,,,US Airways Inc.,6017,3
6121,2015,1,1,4,US Airways Inc.,628,N155UW,CLT,PHX,1300,1301,1,15,1316,273,293,271,1773,1547,7,1533,1554,21,0,0,,20,0,0,1,0,US Airways Inc.,6121,1
6190,2015,1,1,4,US Airways Inc.,893,N170US,CLT,DFW,1305,1314,9,18,1332,172,182,153,936,1505,11,1457,1516,19,0,0,,10,0,9,0,0,US Airways Inc.,6190,9
6193,2015,1,1,4,US Airways Inc.,2066,N118US,CLT,LGA,1305,1358,53,8,1406,107,89,75,544,1521,6,1452,1527,35,0,0,,0,6,0,29,0,US Airways Inc.,6193,53
6260,2015,1,1,4,US Airways Inc.,745,N971UY,PHX,CLT,1310,1314,4,16,1330,232,210,183,1773,1833,11,1902,1844,-18,0,0,,,,,,,US Airways Inc.,6260,4
6262,2015,1,1,4,US Airways Inc.,1882,N806AW,CLT,CLE,1310,1346,36,14,1400,99,86,66,430,1506,6,1449,1512,23,0,0,,0,0,23,0,0,US Airways Inc.,6262,36
6264,2015,1,1,4,US Airways Inc.,2031,N826AW,CLT,PHL,1310,1323,13,15,1338,100,91,68,449,1446,8,1450,1454,4,0,0,,,,,,,US Airways Inc.,6264,13
6338,2015,1,1,4,US Airways Inc.,756,N112US,CLT,SJU,1315,1316,1,25,1341,212,200,169,1475,1730,6,1747,1736,-11,0,0,,,,,,,US Airways Inc.,6338,1
6342,2015,1,1,4,US Airways Inc.,2024,N535UW,PHX,DEN,1315,1318,3,18,1336,107,115,90,602,1506,7,1502,1513,11,0,0,,,,,,,US Airways Inc.,6342,3
6444,2015,1,1,4,US Airways Inc.,1782,N508AY,SEA,CLT,1320,1326,6,14,1340,293,277,253,2279,2053,10,2113,2103,-10,0,0,,,,,,,US Airways Inc.,6444,6
6470,2015,1,1,4,US Airways Inc.,566,N507AY,PHX,MCO,1320,1326,6,15,1341,240,235,215,1849,1916,5,1920,1921,1,0,0,,,,,,,US Airways Inc.,6470,6
6519,2015,1,1,4,US Airways Inc.,1857,N167US,LAX,CLT,1325,1335,10,17,1352,273,259,233,2125,2045,9,2058,2054,-4,0,0,,,,,,,US Airways Inc.,6519,10
6546,2015,1,1,4,US Airways Inc.,544,N582UW,PHX,DFW,1325,1337,12,17,1354,135,141,110,868,1644,14,1640,1658,18,0,0,,6,0,7,5,0,US Airways Inc.,6546,12
6596,2015,1,1,4,US Airways Inc.,654,N182UW,JFK,PHX,1330,1354,24,16,1410,338,340,320,2153,1730,4,1708,1734,26,0,0,,2,0,24,0,0,US Airways Inc.,6596,24
6597,2015,1,1,4,US Airways Inc.,895,N188US,PHX,ORD,1330,1338,8,17,1355,200,182,154,1440,1729,11,1750,1740,-10,0,0,,,,,,,US Airways Inc.,6597,8
6600,2015,1,1,4,US Airways Inc.,1818,N651AW,PHX,BOS,1330,1346,16,17,1403,283,253,230,2300,1953,6,2013,1959,-14,0,0,,,,,,,US Airways Inc.,6600,16
6602,2015,1,1,4,US Airways Inc.,1962,N126UW,TPA,CLT,1330,1345,15,15,1400,98,98,76,507,1516,7,1508,1523,15,0,0,,0,0,15,0,0,US Airways Inc.,6602,15
6619,2015,1,1,4,US Airways Inc.,443,N668AW,PHX,IAH,1330,1334,4,17,1351,150,148,123,1009,1654,8,1700,1702,2,0,0,,,,,,,US Airways Inc.,6619,4
6678,2015,1,1,4,US Airways Inc.,2076,N755US,PHL,FLL,1335,1341,6,17,1358,165,154,134,992,1612,3,1620,1615,-5,0,0,,,,,,,US Airways Inc.,6678,6
6696,2015,1,1,4,US Airways Inc.,437,N585UW,SLC,PHX,1335,1419,44,20,1439,92,96,71,507,1550,5,1507,1555,48,0,0,,4,0,31,13,0,US Airways Inc.,6696,44
6743,2015,1,1,4,US Airways Inc.,680,N659AW,PHX,DCA,1340,1352,12,13,1405,247,221,203,1979,1928,5,1947,1933,-14,0,0,,,,,,,US Airways Inc.,6743,12
6744,2015,1,1,4,US Airways Inc.,686,N195UW,PHL,PHX,1340,1341,1,13,1354,319,340,323,2075,1717,4,1659,1721,22,0,0,,21,1,0,0,0,US Airways Inc.,6744,1
6768,2015,1,1,4,US Airways Inc.,433,N601AW,SFO,PHL,1340,1349,9,17,1406,310,314,294,2521,2200,3,2150,2203,13,0,0,,,,,,,US Airways Inc.,6768,9
6769,2015,1,1,4,US Airways Inc.,490,N662AW,EWR,PHX,1340,1342,2,10,1352,327,335,319,2133,1711,6,1707,1717,10,0,0,,,,,,,US Airways Inc.,6769,2
6822,2015,1,1,4,US Airways Inc.,1802,N829AW,DCA,CLT,1345,1408,23,13,1421,87,74,56,331,1517,5,1512,1522,10,0,0,,,,,,,US Airways Inc.,6822,23
6905,2015,1,1,4,US Airways Inc.,742,N952UW,ORD,PHL,1350,1415,25,18,1433,124,114,88,678,1701,8,1654,1709,15,0,0,,0,0,2,13,0,US Airways Inc.,6905,25
6906,2015,1,1,4,US Airways Inc.,1745,N814AW,PBI,CLT,1350,1354,4,12,1406,109,110,93,590,1539,5,1539,1544,5,0,0,,,,,,,US Airways Inc.,6906,4
6908,2015,1,1,4,US Airways Inc.,1840,N102UW,MSP,CLT,1350,1511,81,12,1523,144,133,110,930,1813,11,1714,1824,70,0,0,,0,0,0,70,0,US Airways Inc.,6908,81
6933,2015,1,1,4,US Airways Inc.,513,N830AW,MCI,CLT,1350,1406,16,11,1417,128,113,92,808,1649,10,1658,1659,1,0,0,,,,,,,US Airways Inc.,6933,16
6989,2015,1,1,4,US Airways Inc.,690,N207UW,HNL,PHX,1355,1848,293,17,1905,355,344,320,2917,325,7,2250,332,282,0,0,,0,0,273,9,0,US Airways Inc.,6989,293
6990,2015,1,1,4,US Airways Inc.,1787,N541UW,IAH,CLT,1355,1416,21,12,1428,140,124,105,912,1713,7,1715,1720,5,0,0,,,,,,,US Airways Inc.,6990,21
6991,2015,1,1,4,US Airways Inc.,1817,N179UW,ORD,CLT,1355,1403,8,15,1418,112,111,79,599,1637,17,1647,1654,7,0,0,,,,,,,US Airways Inc.,6991,8
6992,2015,1,1,4,US Airways Inc.,1999,N117UW,ATL,CLT,1355,1452,57,11,1503,69,53,39,226,1542,3,1504,1545,41,0,0,,0,0,4,37,0,US Airways Inc.,6992,57
7071,2015,1,1,4,US Airways Inc.,744,N567UW,DFW,CLT,1359,1408,9,8,1416,143,124,110,936,1706,6,1722,1712,-10,0,0,,,,,,,US Airways Inc.,7071,9
7196,2015,1,1,4,US Airways Inc.,409,N184US,ORD,PHX,1405,1406,1,15,1421,230,240,220,1440,1701,5,1655,1706,11,0,0,,,,,,,US Airways Inc.,7196,1
7197,2015,1,1,4,US Airways Inc.,411,N904AW,OGG,PHX,1405,1426,21,10,1436,352,335,321,2845,2257,4,2257,2301,4,0,0,,,,,,,US Airways Inc.,7197,21
7237,2015,1,1,4,US Airways Inc.,1926,N198UW,LAX,PHL,1410,1414,4,23,1437,296,294,267,2402,2204,4,2206,2208,2,0,0,,,,,,,US Airways Inc.,7237,4
7310,2015,1,1,4,US Airways Inc.,1827,N967UW,PHL,IAH,1415,1421,6,11,1432,230,252,220,1325,1712,21,1705,1733,28,0,0,,22,0,6,0,0,US Airways Inc.,7310,6
7370,2015,1,1,4,US Airways Inc.,2002,N828AW,CLT,BOS,1419,1423,4,19,1442,121,123,98,728,1620,6,1620,1626,6,0,0,,,,,,,US Airways Inc.,7370,4
7378,2015,1,1,4,US Airways Inc.,2017,N644AW,CLT,JFK,1420,1447,27,14,1501,106,93,73,541,1614,6,1606,1620,14,0,0,,,,,,,US Airways Inc.,7378,27
7451,2015,1,1,4,US Airways Inc.,1859,N626AW,CLT,PBI,1425,1433,8,14,1447,108,101,81,590,1608,6,1613,1614,1,0,0,,,,,,,US Airways Inc.,7451,8
7523,2015,1,1,4,US Airways Inc.,1700,N121UW,CLT,BDL,1430,1510,40,14,1524,109,100,83,644,1647,3,1619,1650,31,0,0,,0,0,31,0,0,US Airways Inc.,7523,40
7525,2015,1,1,4,US Airways Inc.,1841,N581UW,CLT,RSW,1430,1453,23,11,1504,113,101,86,600,1630,4,1623,1634,11,0,0,,,,,,,US Airways Inc.,7525,23
7527,2015,1,1,4,US Airways Inc.,2045,N108UW,CLT,MSY,1430,1443,13,14,1457,122,120,104,651,1541,2,1532,1543,11,0,0,,,,,,,US Airways Inc.,7527,13
7635,2015,1,1,4,US Airways Inc.,510,N764US,PHX,SMF,1435,1454,19,22,1516,119,121,95,647,1551,4,1534,1555,21,0,0,,2,0,19,0,0,US Airways Inc.,7635,19
7682,2015,1,1,4,US Airways Inc.,1799,N509AY,BOS,CLT,1440,1441,1,12,1453,145,142,120,728,1653,10,1705,1703,-2,0,0,,,,,,,US Airways Inc.,7682,1
7684,2015,1,1,4,US Airways Inc.,2059,N835AW,CLT,MIA,1440,1515,35,28,1543,124,125,91,650,1714,6,1644,1720,36,0,0,,1,0,16,19,0,US Airways Inc.,7684,35
7752,2015,1,1,4,US Airways Inc.,1892,N557UW,CLT,ORD,1445,1511,26,12,1523,125,121,101,599,1604,8,1550,1612,22,0,0,,0,0,22,0,0,US Airways Inc.,7752,26
